User_ID,Age,Gender,Steps_Taken,Calories_Burned,Water_Intake_Liters,Sleep_Hours,Exercise_Type,Date,Time,Week_Start,Days_of_Week,Week_Of,Day Number,Age_Group,Age_Sort
U3000,52,Female,13509,601.1,1.38,7.2,None,01/02/2024,00:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3001,56,Female,11859,649.0,2.14,6.2,Cardio,01/02/2024,01:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3002,47,Male,13200,732.1,1.33,5.6,Yoga,01/02/2024,02:00:00,29/01/2024,Thursday,Week of Feb 1,4,41-50,4
U3003,23,Male,5194,380.5,2.15,7.5,None,01/02/2024,03:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3004,21,Male,6789,768.5,0.84,4.9,Cardio,01/02/2024,04:00:00,29/01/2024,Thursday,Week of Feb 1,4,18-21,1
U3005,54,Male,5775,564.2,3.33,5.5,Yoga,01/02/2024,05:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3006,52,Male,12638,662.0,1.37,5.8,None,01/02/2024,06:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3007,26,Male,13982,604.8,3.27,7.6,None,01/02/2024,07:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3008,23,Male,7350,283.6,1.48,6.2,None,01/02/2024,08:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3009,30,Female,2533,196.4,2.85,7.0,None,01/02/2024,09:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3010,39,Male,10593,622.1,1.24,7.9,Walking,01/02/2024,10:00:00,29/01/2024,Thursday,Week of Feb 1,4,31-40,3
U3011,45,Female,5663,482.2,2.51,9.7,None,01/02/2024,11:00:00,29/01/2024,Thursday,Week of Feb 1,4,41-50,4
U3012,47,Male,2129,606.4,1.47,8.6,Walking,01/02/2024,12:00:00,29/01/2024,Thursday,Week of Feb 1,4,41-50,4
U3013,53,Female,12531,459.9,2.03,6.4,Walking,01/02/2024,13:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3014,19,Male,14563,353.0,2.52,8.5,Cardio,01/02/2024,14:00:00,29/01/2024,Thursday,Week of Feb 1,4,18-21,1
U3015,53,Female,4959,335.3,2.27,9.7,Yoga,01/02/2024,15:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3016,25,Male,3858,624.8,2.23,7.0,Walking,01/02/2024,16:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3017,59,Male,13165,329.9,0.70,6.5,Strength,01/02/2024,17:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3018,26,Male,14342,614.5,1.25,4.5,Walking,01/02/2024,18:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
